Kinase/Phosphotase	Type
CLN3	Kinase Associated
CLB3	Kinase Associated
PCL9	Kinase Associated
SIP1	Kinase Associated
PCL6	Kinase Associated
CKB1	Kinase Associated
PCL10	Kinase Associated
SIP2	Kinase Associated
CLG1	Kinase Associated
CLB1	Kinase Associated
CLB6	Kinase Associated
PCL5	Kinase Associated
PCL7	Kinase Associated
MOB1	Kinase Associated
CTK2	Kinase Associated
KAE1	Kinase Associated
CLB4	Kinase Associated
CGI121	Kinase Associated
CTK3	Kinase Associated
CLN1	Kinase Associated
SSN8	Kinase Associated
PCL1	Kinase Associated
PHO80	Kinase Associated
TCO89	Kinase Associated
PCL8	Kinase Associated
CLN2	Kinase Associated
CCL1	Kinase Associated
CLB2	Kinase Associated
CLB5	Kinase Associated
PSK1	Kinase Catalytic
KIN3	Kinase Catalytic
CDC15	Kinase Catalytic
ALK2	Kinase Catalytic
FUS3	Kinase Catalytic
TEL1	Kinase Catalytic
PKC1	Kinase Catalytic
YBR028C	Kinase Catalytic
AKL1	Kinase Catalytic
VPS15	Kinase Catalytic
MEC1	Kinase Catalytic
CDC28	Kinase Catalytic
CHK1	Kinase Catalytic
KCC4	Kinase Catalytic
SAT4	Kinase Catalytic
SSK22	Kinase Catalytic
KIN82	Kinase Catalytic
CDC7	Kinase Catalytic
YDL025C	Kinase Catalytic
MPS1	Kinase Catalytic
MRK1	Kinase Catalytic
DUN1	Kinase Catalytic
KIN28	Kinase Catalytic
STE7	Kinase Catalytic
PRR2	Kinase Catalytic
KIN1	Kinase Catalytic
VHS1	Kinase Catalytic
GCN2	Kinase Catalytic
PKH3	Kinase Catalytic
SNF1	Kinase Catalytic
PKH1	Kinase Catalytic
GIN4	Kinase Catalytic
SPS1	Kinase Catalytic
YCK3	Kinase Catalytic
SAK1	Kinase Catalytic
CAK1	Kinase Catalytic
RIM15	Kinase Catalytic
CMK1	Kinase Catalytic
ALK1	Kinase Catalytic
PKP2	Kinase Catalytic
SCY1	Kinase Catalytic
ABC1	Kinase Catalytic
RCK1	Kinase Catalytic
TOS3	Kinase Catalytic
ATG1	Kinase Catalytic
KSS1	Kinase Catalytic
FMP48	Kinase Catalytic
DBF2	Kinase Catalytic
BUB1	Kinase Catalytic
BUD32	Kinase Catalytic
STE20	Kinase Catalytic
SLT2	Kinase Catalytic
IRE1	Kinase Catalytic
KSP1	Kinase Catalytic
TRA1	Kinase Catalytic
KIC1	Kinase Catalytic
YCK1	Kinase Catalytic
SCH9	Kinase Catalytic
CKA1	Kinase Catalytic
PKP1	Kinase Catalytic
PRK1	Kinase Catalytic
SLN1	Kinase Catalytic
IKS1	Kinase Catalytic
BCK1	Kinase Catalytic
IME2	Kinase Catalytic
PBS2	Kinase Catalytic
YAK1	Kinase Catalytic
TPK1	Kinase Catalytic
HAL5	Kinase Catalytic
SWE1	Kinase Catalytic
PTK2	Kinase Catalytic
TOR1	Kinase Catalytic
ELM1	Kinase Catalytic
HSL1	Kinase Catalytic
PRR1	Kinase Catalytic
YPK1	Kinase Catalytic
CTK1	Kinase Catalytic
KDX1	Kinase Catalytic
TPK3	Kinase Catalytic
KKQ8	Kinase Catalytic
NNK1	Kinase Catalytic
PTK1	Kinase Catalytic
TOR2	Kinase Catalytic
KNS1	Kinase Catalytic
KIN2	Kinase Catalytic
HOG1	Kinase Catalytic
RCK2	Kinase Catalytic
YLR253W	Kinase Catalytic
STE11	Kinase Catalytic
CDC5	Kinase Catalytic
YPK2	Kinase Catalytic
RIM11	Kinase Catalytic
SKY1	Kinase Catalytic
YMR291W	Kinase Catalytic
ARK1	Kinase Catalytic
