#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
198339	851216	853334	31749	33646	YAL017W	YJL110C	PSK1	GZF3	FUN31|serine/threonine protein kinase PSK1|L000000646	DEH1|NIL2|L000002858|L000003382	Biochemical Activity	physical	Ptacek J (2005)	16319894	559292	559292	High Throughput	-	Phosphorylation	-	32P incorporation on protein chip	-	BIOGRID
909225	851216	855656	31749	35755	YAL017W	YNL068C	PSK1	FKH2	FUN31|serine/threonine protein kinase PSK1|L000000646	forkhead family transcription factor FKH2|L000002608	Dosage Growth Defect	genetic	Sharifpoor S (2012)	22282571	559292	559292	High Throughput	-0.261	-	colony size|vegetative growth	score threshold  >=0.2=<	-	BIOGRID
912484	851273	851724	31800	32200	YAR018C	YDR146C	KIN3	SWI5	FUN52|NPK1|serine/threonine protein kinase KIN3|L000000903	DNA-binding transcription factor SWI5|L000002253	Positive Genetic	genetic	Sharifpoor S (2012)	22282571	559292	559292	High Throughput	0.23	-	colony size|vegetative growth	score threshold >=0.16, interaction detected by Synthetic Genetic Array (SGA)	-	BIOGRID
1900654	851273	851724	31800	32200	YAR018C	YDR146C	KIN3	SWI5	FUN52|NPK1|serine/threonine protein kinase KIN3|L000000903	DNA-binding transcription factor SWI5|L000002253	Positive Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	0.2678	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: kin3 - swi5 [SGA score = 0.2678, P-value = 5.78E-10]	-	BIOGRID
2076893	851273	854042	31800	34293	YAR018C	YOL108C	KIN3	INO4	FUN52|NPK1|serine/threonine protein kinase KIN3|L000000903	L000000869	Negative Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	-0.1887	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: kin3 - ino4 [SGA score = -0.1887, P-value = 0.0232]	-	BIOGRID
151351	852265	856484	32682	36519	YBL016W	YHR084W	FUS3	STE12	DAC2|mitogen-activated serine/threonine-protein kinase FUS3|L000000655	homeodomain family transcription factor STE12|L000002119	Biochemical Activity	physical	Elion EA (1993)	8334305	559292	559292	Low Throughput	-	Phosphorylation	-	-	-	BIOGRID
151522	852265	856484	32682	36519	YBL016W	YHR084W	FUS3	STE12	DAC2|mitogen-activated serine/threonine-protein kinase FUS3|L000000655	homeodomain family transcription factor STE12|L000002119	Biochemical Activity	physical	Breitkreutz A (2001)	11525741	559292	559292	Low Throughput	-	Phosphorylation	-	-	-	BIOGRID
259058	852265	856484	32682	36519	YBL016W	YHR084W	FUS3	STE12	DAC2|mitogen-activated serine/threonine-protein kinase FUS3|L000000655	homeodomain family transcription factor STE12|L000002119	Dosage Rescue	genetic	Schrick K (1997)	9286665	559292	559292	Low Throughput	-	-	mating efficiency:partial rescue	in fus3 kss1 background	-	BIOGRID
439639	852265	856484	32682	36519	YBL016W	YHR084W	FUS3	STE12	DAC2|mitogen-activated serine/threonine-protein kinase FUS3|L000000655	homeodomain family transcription factor STE12|L000002119	Affinity Capture-MS	physical	Breitkreutz A (2010)	20489023	559292	559292	High Throughput	1.0	-	-	-	-	BIOGRID
616523	852265	856484	32682	36519	YBL016W	YHR084W	FUS3	STE12	DAC2|mitogen-activated serine/threonine-protein kinase FUS3|L000000655	homeodomain family transcription factor STE12|L000002119	Phenotypic Suppression	genetic	Wang X (2011)	22114773	559292	559292	Low Throughput	-	-	RNA accumulation:partial rescue	overexpression of Ste12 suppresses defects in expression of transcription targets in fus3, kss1, ste11 and far1 mutants	-	BIOGRID
