TF	Kinase	Author	Pubmed ID	Throughput	Score	Modification	Phenotypes
ycr065w	ydr477w	Rodriguez-Colman MJ (2013)	23481038	Low Throughput	-	Phosphorylation	-	
ycr065w	ylr433c	Arsenault HE (2015)	26269584	Low Throughput	-	-	-	
ydr146c	ypl031c	Measday V (2000)	10692159	Low Throughput	-	Phosphorylation	-	
ydr310c	yjl106w	Ahmed NT (2009)	19528232	Low Throughput	-	Phosphorylation	-	
yel009c	ydr283c	Millson SH (2005)	15633294	Low Throughput	-	-	-	
yel009c	ypl031c	Shemer R (2002)	12101234	Low Throughput	-	Phosphorylation	-	
yel009c	ypl031c	Meimoun A (2000)	10712509	Low Throughput	-	Phosphorylation	-	
yel009c	ypl031c	Aviram S (2008)	18794371	Low Throughput	-	Phosphorylation	-	
yfl031w	yhr079c	Niwa M (2005)	15642095	Low Throughput	-	-	-	
yfl031w	yhr079c	Lee KP (2008)	18191223	Low Throughput	-	-	-	
yfl031w	yhr082c	Ptacek J (2005)	16319894	High Throughput	-	Phosphorylation	-	
yfl031w	yhr135c	Ptacek J (2005)	16319894	High Throughput	-	Phosphorylation	-	
yfr034c	ydr477w	Graumann J (2004)	14660704	High Throughput	-	-	-	
yfr034c	ylr362w	Graumann J (2004)	14660704	High Throughput	-	-	-	
yfr034c	ygl180w	Ptacek J (2005)	16319894	High Throughput	-	Phosphorylation	-	
yfr034c	yhr135c	Ptacek J (2005)	16319894	High Throughput	-	Phosphorylation	-	
yfr034c	yil035c	Barz T (2003)	12606059	Low Throughput	-	Phosphorylation	-	
yfr034c	yjl164c	Ptacek J (2005)	16319894	High Throughput	-	Phosphorylation	-	
yfr034c	yor061w	Barz T (2003)	12606059	Low Throughput	-	Phosphorylation	-	
yfr034c	ypl031c	Byrne M (2004)	14659740	Low Throughput	-	-	-	
yfr034c	ypl031c	Wu JS (2002)	12174300	Low Throughput	-	Phosphorylation	-	
yfr034c	ypl031c	Huang D (1998)	9584169	Low Throughput	-	Phosphorylation	-	
yfr034c	ypl031c	Huang D (1999)	10588725	Low Throughput	-	Phosphorylation	-	
yfr034c	ypl031c	O'Neill EM (1996)	8539622	Low Throughput	-	Phosphorylation	-	
yfr034c	ypl031c	Kaffman A (1994)	8108735	Low Throughput	-	Phosphorylation	-	
yfr034c	ypl031c	Measday V (1994)	7973731	Low Throughput	-	Phosphorylation	-	
yfr034c	ypl031c	Byrne M (2004)	14659740	Low Throughput	-	Phosphorylation	-	
yfr034c	ypl031c	Jeffery DA (2001)	11237614	Low Throughput	-	Phosphorylation	-	
yfr034c	ypl031c	Dephoure N (2005)	16330754	Low Throughput	-	No Modification	-	
yfr034c	ypl031c	Wilson WA (1999)	10490639	Low Throughput	-	Phosphorylation	-	
yfr034c	ypl031c	Lee YS (2008)	18059263	Low Throughput	-	Phosphorylation	-	
yfr034c	ypl031c	Waters NC (2004)	15057567	Low Throughput	-	Phosphorylation	-	
yfr034c	ypl031c	Ptacek J (2005)	16319894	High Throughput	-	Phosphorylation	-	
yfr034c	ypl031c	Menoyo S (2013)	23339867	Low Throughput	-	Phosphorylation	-	
ygl071w	ylr113w	Martins TS (2018)	29032057	Low Throughput	-	-	-	
ygl071w	ylr113w	Martins TS (2018)	29032057	Low Throughput	-	Phosphorylation	-	
yhl020c	ycr073c	Ptacek J (2005)	16319894	High Throughput	-	Phosphorylation	-	
yhl020c	ygl158w	Ptacek J (2005)	16319894	High Throughput	-	Phosphorylation	-	
yhl020c	ypl031c	Kliewe F (2016)	27743455	Low Throughput	-	-	-	
yhl020c	ypl031c	Kliewe F (2016)	27743455	Low Throughput	-	-	-	
yhl020c	yil035c	Chang YF (2006)	16407309	Low Throughput	-	No Modification	-	
yhl020c	ykl166c	Ptacek J (2005)	16319894	High Throughput	-	Phosphorylation	-	
yhl020c	yor061w	Chang YF (2006)	16407309	Low Throughput	-	No Modification	-	
yhl020c	ypl031c	Kliewe F (2016)	27743455	Low Throughput	-	-	-	
yhr084w	ybl016w	Elion EA (1993)	8334305	Low Throughput	-	Phosphorylation	-	
yhr084w	ybl016w	Breitkreutz A (2001)	11525741	Low Throughput	-	Phosphorylation	-	
yhr084w	ybl016w	Breitkreutz A (2010)	20489023	High Throughput	1.0	-	-	
yhr084w	ygr040w	Ho Y (2002)	11805837	High Throughput	-	-	-	
yhr084w	ygr040w	Printen JA (1994)	7851759	Low Throughput	-	-	-	
yhr084w	ygr040w	Madhani HD (1997)	9393860	Low Throughput	-	-	-	
yhr084w	ygr040w	Breitkreutz A (2001)	11525741	Low Throughput	-	Phosphorylation	-	
yhr084w	ygr040w	Yu H (2008)	18719252	High Throughput	-	-	-	
yhr084w	ygr040w	Breitkreutz A (2010)	20489023	High Throughput	1.0	-	-	
yhr084w	yhr030c	Breitkreutz A (2010)	20489023	High Throughput	0.981	-	-	
yhr084w	ygr040w	Kusari AB (2004)	14734536	Low Throughput	-	-	-	
yhr084w	ygr040w	Bardwell L (1998)	9744865	Low Throughput	-	-	-	
yhr084w	yhr030c	Breitkreutz A (2010)	20489023	Low Throughput	-	-	-	
yhr084w	ylr433c	Goldman A (2014)	24930733	Low Throughput	-	-	-	
yhr124w	yjl106w	Sopko R (2004)	14680970	Low Throughput	-	Phosphorylation	-	
yhr124w	yjl106w	Sopko R (2002)	12242283	Low Throughput	-	Phosphorylation	-	
