Gene Name	Kinase Name	Gene ID	Kinase ID	Protein Chip data for in vitro phosphorylated substrates 	HTP in vitro phosphorylation	HTP in vivo-dependency (Transcription, protein abundance or phosphorylation)	Localized to same subcellular compartment	HTP Synthetic Lethality/synthetic growth defect /phenotypic enhancement	Phenotypic Suppression/ Synthetic Suppression	HTP Genetic Correlation (SGA correlations)	HTP Dosage Lethality	HTP Dosage Suppression	Yeast 2-Hybrid studies or PCA assay	Co-Immunoprecipitation by Mass Spec	HTP In vitro PPI	HTP Chemical co-fitness	Co-Immunoprecipitation / Co-purification	Physical interaction by Two-hybrid or PCA	Reconstituted complex	LTP in vitro kinase assays	LTP Synthetic lethality, Synthetic growth defect, Phenotypic enhancement	Synthetic Suppression	Dosage lethality	Dosage suppression, Dosage rescue	Biological correlations	Biological anti-correlations	LTP Co-localization	In vitro phosphorylation site mapping (Mass Spec, Phospho-specific antibodies by Western, in vitro site-directed mutagenesis)	In vivo site-directed mutagenesis in substrate showing same biological consequence as the kinase delete	Reduction in phospho-peptide in vivo by mass-spec	In vivo phosphorylation site mapping using phospho-specific antibodies (Western blot) or by phospho-peptide mapping	General in vivo dependency on the kinase	Phosphorylation reduced or absent in kinase mutant (Phospho-shifts, Western blot using Phospho-specific antibody)	Phosphorylation or kinase-dependent change in localization	Score
CRZ1	CTK1	YNL027W	YKL139W												21460040:C-terminal V5 epitope kinase probed a yeast proteome microarray (GST-fused).  Fasolo J. et al, (2011);																				0.0388082
CRZ1	CMK1	YNL027W	YFR014C	16319894:by Ptacek et al (2005);																															1.2052
CRZ1	STE20	YNL027W	YHL007C	16319894:by Ptacek et al (2005);																															1.2052
CUP9	DUN1	YPL177C	YDL101C	16319894:by Ptacek et al (2005);																															1.2052
GZF3	SNF1	YJL110C	YDR477W	16319894:by Ptacek et al (2005);																															1.2052
HAC1	KSP1	YFL031W	YHR082C	16319894:by Ptacek et al (2005);																															1.2052
OPI1	TPK3	YHL020C	YKL166C	16319894:by Ptacek et al (2005);																															1.2052
SKO1	PTK2	YNL167C	YJR059W	16319894:by Ptacek et al (2005);																															1.2052
UME1	CMK1	YPL139C	YFR014C	16319894:by Ptacek et al (2005);																															1.2052
UME1	SKY1	YPL139C	YMR216C	16319894:by Ptacek et al (2005);																															1.2052
CRZ1	KSP1	YNL027W	YHR082C	16319894:by Ptacek et al (2005);					22282571:YHR082C as query and array, YNL027W. Score=0.086, P-value=1.90E-02  Sharifpoor et al, (2012);																										1.384798
CUP9	KSP1	YPL177C	YHR082C	16319894:by Ptacek et al (2005);					22282571:YHR082C as query and array, YPL177C. Score=0.089, P-value=2.57E-02  Sharifpoor et al, (2012);																										1.384798
ASH1	CKA2	YKL185W	YOR061W			21177495:Deletion/inhibition of kinase shows reduced phosphorylation of target in vivo by mass spectrometry.  Bodenmiller B et al, (2010);																													1.60644
ASH1	CTK1	YKL185W	YKL139W			21177495:Deletion/inhibition of kinase shows reduced phosphorylation of target in vivo by mass spectrometry.  Bodenmiller B et al, (2010);																													1.60644
CBF1	CTK1	YJR060W	YKL139W			21177495:Deletion/inhibition of kinase shows reduced phosphorylation of target in vivo by mass spectrometry.  Bodenmiller B et al, (2010);																													1.60644
FKH2	PTK2	YNL068C	YJR059W			21177495:Deletion/inhibition of kinase shows reduced phosphorylation of target in vivo by mass spectrometry.  Bodenmiller B et al, (2010);																													1.60644
FKH2	SNF1	YNL068C	YDR477W			21177495:Deletion/inhibition of kinase shows reduced phosphorylation of target in vivo by mass spectrometry.  Bodenmiller B et al, (2010);																													1.60644
HAC1	HOG1	YFL031W	YLR113W			14595107:O'Rourke SM. et al, (2004) Transcript is induced in an hog1 delete by microarrays;																													1.60644
