gene type
ime2  Kinase Catalytic yjl106w
hal5  Kinase Catalytic yjl165c
ssk2  Kinase Catalytic ynr031c
kin82  Kinase Catalytic ycr091w
gin4  Kinase Catalytic ydr507c
ypl141c  Kinase Catalytic
scy1  Kinase Catalytic ygl083w
gcn2  Kinase Catalytic ydr283c
ppt1  Phosphatase Catalytic ygr123c
cla4  Kinase Catalytic ynl298w
snf1  Kinase Catalytic ydr477w
kcc4  Kinase Catalytic ycl024w
msg5  Phosphatase Catalytic ynl053w
cmp2  Phosphatase Catalytic yml057w
yvh1  Phosphatase Catalytic yir026c
ylr253w  Kinase Catalytic ylr253w
cki1  Kinase Metabolic/Lipid ylr133w
ymr1  Phosphatase Metabolic/Lipid yjr110w
pbs2  Kinase Catalytic yjl128c
ygk3  Kinase Catalytic yol128c
ybr028c  Kinase Catalytic
tor1  Kinase Catalytic yjr066w
sky1  Kinase Catalytic ymr216c
ste20  Kinase Catalytic yhl007c
sit4  Phosphatase Catalytic ydl047w
kkq8  Kinase Catalytic ykl168c
ste7  Kinase Catalytic ydl159w
bck1  Kinase Catalytic yjl095w
dun1  Kinase Catalytic ydl101c
ydl025c  Kinase Catalytic
npr1  Kinase Catalytic ynl183c
rck1  Kinase Catalytic ygl158w
rck2  Kinase Catalytic ylr248w
pkh3  Kinase Catalytic ydr466w
pkh1  Kinase Catalytic ydr490c
cmk1  Kinase Catalytic yfr014c
cmk2  Kinase Catalytic yol016c
sat4  Kinase Catalytic ycr008w
swe1  Kinase Catalytic yjl187c
ppg1  Phosphatase Catalytic ynr032w
yak1  Kinase Catalytic yjl141c
yck1  Kinase Catalytic yhr135c
yck3  Kinase Catalytic yer123w
yck2  Kinase Catalytic ynl154c
lcb5  Kinase Metabolic/Lipid ylr260w
lcb4  Kinase Metabolic/Lipid yor171c
pho85  Kinase Catalytic ypl031c
ypl109c  Kinase Catalytic ypl109c
vps15  Kinase Catalytic ybr097w
atg1  Kinase Catalytic ygl180w
ptc3  Phosphatase Catalytic ybl056w
cna1  Phosphatase Catalytic ylr433c
kin4  Kinase Catalytic yor233w
kin2  Kinase Catalytic ylr096w
kin3  Kinase Catalytic yar018c
kin1  Kinase Catalytic ydr122w
iks1  Kinase Catalytic yjl057c
cka1  Kinase Catalytic yil035c
cka2  Kinase Catalytic yor061w
skm1  Kinase Catalytic yol113w
ppq1  Phosphatase Catalytic ypl179w
slt2  Kinase Catalytic yhr030c
chk1  Kinase Catalytic ybr274w
kns1  Kinase Catalytic yll019c
ssk22  Kinase Catalytic ycr073c
mih1  Phosphatase Catalytic ymr036c
elm1  Kinase Catalytic ykl048c
ptp1  Phosphatase Catalytic ydl230w
ptp3  Phosphatase Catalytic yer075c
psk2  Kinase Catalytic yol045w
psk1  Kinase Catalytic yal017w
oca1  Phosphatase Catalytic ynl099c
mkk1  Kinase Catalytic yor231w
mkk2  Kinase Catalytic ypl140c
sak1  Kinase Catalytic yer129w
thr1  Kinase Metabolic/Lipid yhr025w
fus3  Kinase Catalytic ybl016w
prr1  Kinase Catalytic ykl116c
ire1  Kinase Catalytic yhr079c
hsl1  Kinase Catalytic ykl101w
ypk2  Kinase Catalytic ymr104c
kss1  Kinase Catalytic ygr040w
mck1  Kinase Catalytic ynl307c
fmp48  Kinase Catalytic ygr052w
alk1  Kinase Catalytic ygl021w
ste11  Kinase Catalytic ylr362w
vhs1  Kinase Catalytic ydr247w
rim15  Kinase Catalytic yfl033c
tpk1  Kinase Catalytic yjl164c
tpk3  Kinase Catalytic ykl166c
tpk2  Kinase Catalytic ypl203w
ctk1  Kinase Catalytic ykl139w
ksp1  Kinase Catalytic yhr082c
tos3  Kinase Catalytic ygl179c
pph21  Phosphatase Catalytic ydl134c
dbf20  Kinase Catalytic ypr111w
dak1  Kinase Metabolic/Lipid yml070w
prk1  Kinase Catalytic yil095w
abc1  Kinase Catalytic
ptc1  Phosphatase Catalytic ydl006w
alk2  Kinase Catalytic ybl009w
eki1  Kinase Metabolic/Lipid ydr147w
ptc2  Phosphatase Catalytic yer089c
ptc5  Phosphatase Catalytic yor090c
ptc4  Phosphatase Catalytic ybr125c
ptc7  Phosphatase Catalytic yhr076w
ptk1  Kinase Catalytic ykl198c
ptk2  Kinase Catalytic yjr059w
fab1  Kinase Metabolic/Lipid yfr019w
psr2  Phosphatase Catalytic ylr019w
akl1  Kinase Catalytic ybr059c
hrk1  Kinase Catalytic yor267c
hog1  Kinase Catalytic ylr113w
rim11  Kinase Catalytic ymr139w
ppz2  Phosphatase Catalytic ydr436w
ppz1  Phosphatase Catalytic yml016c
ark1  Kinase Catalytic ynl020c
ypl150w  Kinase Catalytic ypl150w
